,Comment,Label,Toxicity,Severe Toxicity,Identity Attack,Insult,Profanity,Threat
0,The COVID-19 vaccines don't work because you can still get COVID after vaccination.,1,0.064499915,0.014884815,0.017450271,0.040236462,0.010213433,0.09851369
1,"Get ready for those mandates. No vaccine? No job, No grocery shopping, No drivers lisence, No freedom.",0,0.07816831,0.029785594,0.029315516,0.057349056,0.018996617,0.14086527
2,You cannot mandate something that isn't 100% you're walking a slippery slope Baker. Look how well it worked out when you tried to mandate the flu shot for children! mandates aren't even law!,1,0.14245237,0.06315386,0.03925629,0.09986429,0.039815858,0.3924054
3,COVID-19 vaccines cause infertility or miscarriage,1,0.1099759,0.06161064,0.046029504,0.07254812,0.08453749,0.22898953
4,"It's better to lose your job than take these experimental ""vaccines"" and permanently damage your health or even cost you your life.",1,0.24211568,0.09519776,0.06107771,0.17914675,0.048498075,0.3368402
5,"With 17,000 deaths from the vaccine and more than 60,000 serious adverse reactions, the Governor is acting responsibly for the freedom, and wellbeing of all Texans! No wonder why so many Americans are now moving there!",0,0.11884044,0.041478857,0.18595761,0.10844229,0.019518187,0.12744395
6,More money for Pfizer and moderna and Bill Gates and fauci! Unfortunately it's incredibly dangerous to give these injections to children. And besides they aren't at risk of catching covid! This must be stopped!,0,0.33946142,0.23704909,0.22366525,0.33561033,0.18500529,0.39183632
7,Pregnant and breastfeeding women should not get the COVID-19 vaccine.,1,0.31089434,0.14626057,0.3926654,0.21659334,0.08618609,0.32092965
8,"If employees are so uneducated and backward they refuse vaccines they may not be the kind of employees you want in the first place. You want the job, get vaccinated.",0,0.47320655,0.16413407,0.12931868,0.5815243,0.14171804,0.12337452
9,There are severe side effects of the COVID-19 vaccines.,1,0.04654446,0.012159557,0.015271915,0.022869535,0.009528694,0.049097035
